PROJECT	DDE_NUM	DDE_TYPE	DATE_EN_AFFINAGE	DATE_PRET	DELAI	DDE_STATUT	DATE_LAST_UPDATE
BEA	BEA-85	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:11
BEA	BEA-1073	Story	NULL	NULL	NULL	Fermé	2017-02-08 17:14:44
BEA	BEA-1074	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:14
EXTR	EXTR-603	Bogue	NULL	2016-10-05 15:49:34	NULL	Testé	2017-02-22 13:40:29
BEA	BEA-1075	Story	NULL	NULL	NULL	Fermé	2016-12-19 10:42:55
BEA	BEA-1076	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:09
BEA	BEA-73	Story	NULL	NULL	NULL	Fermé	2016-12-19 10:42:31
BEA	BEA-357	Bogue	NULL	NULL	NULL	Fermé	2016-11-15 14:05:09
BEA	BEA-1077	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:15:00
BEA	BEA-1078	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:15:38
BEA	BEA-1079	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:15:45
BEA	BEA-1080	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:15:51
BEA	BEA-1081	Story	2017-01-05 09:15:54	NULL	NULL	Fermé	2017-01-05 09:16:01
BEA	BEA-1082	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:16:09
BEA	BEA-1083	Story	NULL	NULL	NULL	Fermé	2017-01-05 09:16:16
BOA	BOA-1200	Story	2016-12-06 15:33:55	2016-12-06 15:33:57	0	Fermé	2016-12-22 13:20:55
BOA	BOA-277	Story	NULL	NULL	NULL	Testé	2017-01-31 11:43:48
BOA	BOA-1201	Story	NULL	NULL	NULL	Nouveau	2017-02-15 09:00:25
EXTR	EXTR-282	Bogue	2016-11-08 11:40:28	2016-12-29 15:13:22	51	Fermé	2016-12-29 15:20:05
BEA	BEA-1084	Bogue	2017-02-13 13:31:33	NULL	NULL	En Affinage	2017-02-28 15:50:05
BOA	BOA-1202	Bogue	2016-11-07 17:11:56	2016-12-19 10:08:01	42	Testé	2016-12-22 11:16:33
EXTR	EXTR-283	Bogue	NULL	2016-09-19 09:35:14	NULL	Fermé	2016-11-15 14:05:13
EXTR	EXTR-284	Bogue	NULL	2016-09-30 12:04:42	NULL	Fermé	2016-11-15 14:05:11
WEB	WEB-230	Bogue	2016-11-10 16:13:35	2016-11-10 16:13:40	0	Fermé	2016-12-29 15:21:03
BEA	BEA-358	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:11
BEA	BEA-86	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:13
BEA	BEA-1085	Story	2016-11-09 15:48:48	2016-11-22 15:36:10	13	Nouveau	2017-02-07 09:13:26
